match_number,batter,team_A,team_B,venue,runs_batter,balls_faced,bowler,wickets,runs_conceded,runs_at_venue,wickets_at_venue,runs_vs_opponent,wickets_vs_opponent,career_runs,career_wickets,career_runs_conceded,next_match_runs,next_match_wickets
0.0,AR Patel,10,2,Dubai,4.0,4.0,AR Patel,25.0,32.0,9.764705882352942,21.5,7.0,20.77777777777778,44.0,116.0,120.0,10.0,18.0
0.0,AR Patel,8,10,Dubai,42.0,34.0,AR Patel,18.0,27.0,9.764705882352942,21.5,14.4,22.595744680851062,2.0,98.0,93.0,4.0,25.0
0.0,DJ Bravo,8,3,Hyderabad,15.0,15.0,DJ Bravo,19.0,24.0,22.0,21.333333333333332,16.61111111111111,21.6,90.0,285.0,382.0,33.0,20.0
0.0,DJ Bravo,10,3,Chennai,33.0,12.0,DJ Bravo,20.0,25.0,13.541666666666666,21.783783783783782,16.61111111111111,21.6,105.0,304.0,406.0,0.0,20.0
0.0,DJ Bravo,10,3,Vizag,0.0,1.0,DJ Bravo,26.0,19.0,21.5,16.0,16.61111111111111,21.6,138.0,344.0,462.0,20.0,24.0
0.0,DJ Bravo,14,4,Delhi,20.0,11.0,DJ Bravo,24.0,32.0,9.428571428571429,18.25,11.375,19.9,138.0,370.0,481.0,8.0,19.0
0.0,DJ Bravo,14,5,Banglore,8.0,7.0,DJ Bravo,19.0,30.0,10.25,20.0,6.75,21.4,158.0,394.0,513.0,19.0,24.0
0.0,DJ Hooda,4,2,Delhi,21.0,13.0,DJ Hooda,6.0,8.0,17.8,13.333333333333334,16.0,9.0,0.0,0.0,0.0,19.0,7.0
0.0,DJ Hooda,4,10,Vizag,4.0,7.0,DJ Hooda,7.0,13.0,9.0,10.0,15.625,9.25,43.0,6.0,8.0,3.0,6.0
0.0,A Symonds,5,4,RSA,33.0,21.0,A Symonds,18.0,18.0,30.0,19.11111111111111,27.785714285714285,18.46153846153846,25.0,43.0,41.0,24.0,18.0
0.0,A Symonds,10,4,RSA,24.0,15.0,A Symonds,18.0,20.0,30.0,19.11111111111111,27.785714285714285,18.46153846153846,58.0,61.0,59.0,5.0,26.0
0.0,AD Russell,2,7,Eden Gardens,49.0,27.0,AD Russell,18.0,22.0,26.555555555555557,15.675,18.875,15.25,0.0,0.0,0.0,3.0,9.0
0.0,AD Russell,4,2,Eden Gardens,3.0,7.0,AD Russell,6.0,9.0,26.555555555555557,15.675,22.044444444444444,15.60377358490566,49.0,43.0,56.0,16.0,24.0
0.0,AD Russell,10,3,Chennai,16.0,11.0,AD Russell,24.0,31.0,23.88888888888889,18.125,31.375,16.571428571428573,52.0,49.0,65.0,4.0,18.0
0.0,AK Markram,4,2,Chennai,20.0,25.0,AK Markram,6.0,5.0,16.25,6.333333333333333,35.0,6.0,0.0,0.0,0.0,1.0,7.0
0.0,AK Markram,4,7,Chennai,1.0,2.0,AK Markram,7.0,10.0,16.25,6.333333333333333,1.0,7.0,20.0,6.0,5.0,18.0,12.0
0.0,AR Patel,10,3,Vizag,3.0,6.0,AR Patel,24.0,32.0,2.2,20.333333333333332,12.5,21.875,58.0,159.0,175.0,9.0,24.0
0.0,HH Pandya,3,8,Chennai,13.0,11.0,HH Pandya,12.0,13.0,11.222222222222221,10.666666666666666,16.244444444444444,16.513513513513512,0.0,0.0,0.0,1.0,24.0
0.0,HH Pandya,7,9,Ahmedabad,34.0,32.0,HH Pandya,24.0,18.0,23.5,15.88888888888889,20.9375,17.3,22.0,12.0,13.0,40.0,13.0
0.0,HH Pandya,7,9,Eden Gardens,40.0,31.0,HH Pandya,13.0,14.0,23.5,18.875,20.9375,17.3,56.0,36.0,31.0,0.0,6.0
0.0,HH Pandya,8,3,Eden Gardens,0.0,2.0,HH Pandya,25.0,37.0,23.5,18.875,17.285714285714285,17.5,96.0,55.0,49.0,16.0,7.0
0.0,HH Pandya,8,3,Hyderabad,16.0,10.0,HH Pandya,7.0,3.0,13.5,11.5,17.285714285714285,17.5,96.0,80.0,86.0,37.0,6.0
0.0,HH Pandya,8,12,Mumbai,14.0,10.0,HH Pandya,6.0,15.0,21.574468085106382,17.45,11.5,5.0,159.0,87.0,89.0,21.0,7.0
0.0,HH Pandya,9,3,Ahmedabad,21.0,12.0,HH Pandya,7.0,14.0,23.5,15.88888888888889,17.285714285714285,17.5,173.0,93.0,104.0,28.0,13.0
0.0,HH Pandya,9,8,Ahmedabad,28.0,13.0,HH Pandya,13.0,24.0,23.5,15.88888888888889,16.244444444444444,16.513513513513512,194.0,100.0,118.0,3.0,18.0
0.0,HR Shokeen,8,6,Chennai,0.0,1.0,HR Shokeen,7.0,18.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,5.0,6.0
0.0,HV Patel,3,5,Ranchi,2.0,3.0,HV Patel,24.0,26.0,2.0,24.0,7.3076923076923075,22.69047619047619,0.0,0.0,0.0,8.0,25.0
0.0,HV Patel,5,2,Dubai,8.0,7.0,HV Patel,25.0,20.0,7.5,21.615384615384617,10.0,21.166666666666668,2.0,24.0,26.0,1.0,27.0
0.0,HV Patel,5,7,Ahmedabad,1.0,2.0,HV Patel,19.0,29.0,16.0,24.0,7.666666666666667,19.8,10.0,76.0,72.0,4.0,18.0
0.0,Harbhajan Singh,3,8,Banglore,1.0,4.0,Harbhajan Singh,18.0,20.0,0.6666666666666666,21.11111111111111,8.953488372093023,22.363636363636363,0.0,0.0,0.0,0.0,25.0
0.0,Harbhajan Singh,3,8,Delhi,0.0,4.0,Harbhajan Singh,24.0,26.0,6.0,20.5,8.953488372093023,22.363636363636363,1.0,43.0,45.0,14.0,18.0
0.0,Harbhajan Singh,3,8,Eden Gardens,14.0,9.0,Harbhajan Singh,18.0,14.0,12.6,19.11111111111111,8.953488372093023,22.363636363636363,1.0,67.0,71.0,7.0,49.0
0.0,Harbhajan Singh,3,8,Mumbai,7.0,8.0,Harbhajan Singh,49.0,57.0,13.058823529411764,23.403508771929825,8.953488372093023,22.363636363636363,15.0,85.0,85.0,7.0,26.0
0.0,Harbhajan Singh,3,8,RSA,7.0,2.0,Harbhajan Singh,26.0,27.0,7.133333333333334,21.65,8.953488372093023,22.363636363636363,22.0,134.0,142.0,2.0,25.0
0.0,Harbhajan Singh,5,8,Chennai,13.0,7.0,Harbhajan Singh,25.0,40.0,14.285714285714286,21.352941176470587,8.953488372093023,22.363636363636363,31.0,160.0,169.0,11.0,27.0
0.0,Harbhajan Singh,8,2,Mumbai,11.0,5.0,Harbhajan Singh,25.0,26.0,13.058823529411764,23.403508771929825,2.8333333333333335,21.90909090909091,44.0,212.0,254.0,6.0,25.0
0.0,Harbhajan Singh,8,3,Eden Gardens,6.0,3.0,Harbhajan Singh,25.0,34.0,12.6,19.11111111111111,12.142857142857142,21.4,55.0,237.0,280.0,6.0,25.0
0.0,Harbhajan Singh,8,7,Eden Gardens,6.0,4.0,Harbhajan Singh,25.0,23.0,12.6,19.11111111111111,11.0,24.714285714285715,61.0,287.0,341.0,4.0,24.0
0.0,Harmeet Singh,3,4,Mumbai,0.0,1.0,Harmeet Singh,24.0,24.0,0.0,19.25,1.5,19.454545454545453,0.0,0.0,0.0,1.0,6.0
0.0,I Sharma,10,3,Vizag,10.0,3.0,I Sharma,24.0,28.0,5.5,21.5,8.0,21.285714285714285,0.0,42.0,66.0,1.0,26.0
0.0,IK Pathan,3,1,Mumbai,3.0,12.0,IK Pathan,26.0,24.0,12.714285714285714,24.0,16.363636363636363,20.428571428571427,0.0,0.0,0.0,6.0,25.0
0.0,IK Pathan,10,2,Mumbai,6.0,3.0,IK Pathan,25.0,20.0,12.714285714285714,24.0,21.375,23.0,3.0,26.0,24.0,4.0,12.0
0.0,Iqbal Abdulla,5,4,Banglore,4.0,2.0,Iqbal Abdulla,6.0,10.0,15.5,20.333333333333332,4.0,15.0,0.0,6.0,9.0,33.0,18.0
0.0,Iqbal Abdulla,14,5,Banglore,33.0,25.0,Iqbal Abdulla,25.0,38.0,15.5,20.333333333333332,16.5,20.333333333333332,4.0,54.0,69.0,3.0,24.0
0.0,J Suchith,3,8,Mumbai,1.0,1.0,J Suchith,12.0,18.0,8.333333333333334,20.23076923076923,0.5,19.5,0.0,0.0,0.0,34.0,14.0
0.0,J Syed Mohammad,3,5,Chennai,2.0,3.0,J Syed Mohammad,18.0,39.0,2.0,20.333333333333332,8.0,18.428571428571427,0.0,0.0,0.0,1.0,24.0
0.0,JA Morkel,3,4,Mumbai,4.0,4.0,JA Morkel,18.0,15.0,10.333333333333334,20.53846153846154,17.714285714285715,21.0,0.0,50.0,65.0,2.0,18.0
0.0,JA Morkel,3,5,Chennai,2.0,4.0,JA Morkel,18.0,24.0,19.48,23.0,9.0,21.571428571428573,4.0,68.0,80.0,16.0,29.0
0.0,JA Morkel,3,7,Mumbai,16.0,14.0,JA Morkel,29.0,27.0,10.333333333333334,20.53846153846154,30.8,22.285714285714285,6.0,86.0,104.0,10.0,24.0
0.0,JA Morkel,3,8,Eden Gardens,10.0,10.0,JA Morkel,18.0,14.0,15.0,18.833333333333332,9.333333333333334,22.125,22.0,158.0,193.0,15.0,19.0
0.0,JA Morkel,3,8,Mumbai,15.0,6.0,JA Morkel,19.0,20.0,10.333333333333334,20.53846153846154,9.333333333333334,22.125,32.0,176.0,207.0,28.0,24.0
0.0,JA Morkel,5,3,Mumbai,28.0,10.0,JA Morkel,24.0,41.0,10.333333333333334,20.53846153846154,13.083333333333334,20.0625,47.0,195.0,227.0,20.0,18.0
0.0,JA Morkel,5,3,RSA,20.0,19.0,JA Morkel,18.0,26.0,9.7,20.75,13.083333333333334,20.0625,75.0,219.0,268.0,0.0,18.0
0.0,JA Morkel,10,3,Chennai,0.0,1.0,JA Morkel,18.0,28.0,19.48,23.0,13.083333333333334,20.0625,95.0,237.0,294.0,15.0,19.0
0.0,JD Unadkat,4,2,Chennai,4.0,11.0,JD Unadkat,6.0,9.0,3.3333333333333335,16.25,15.0,18.333333333333332,0.0,12.0,33.0,5.0,7.0
0.0,JD Unadkat,4,7,Chennai,5.0,2.0,JD Unadkat,7.0,5.0,3.3333333333333335,16.25,9.0,21.17241379310345,4.0,18.0,42.0,1.0,24.0
0.0,JDP Oram,5,3,RSA,9.0,7.0,JDP Oram,6.0,14.0,11.0,13.428571428571429,9.666666666666666,16.5,0.0,0.0,0.0,8.0,24.0
0.0,JEC Franklin,3,8,Banglore,13.0,13.0,JEC Franklin,6.0,12.0,13.0,6.0,21.857142857142858,10.625,0.0,0.0,0.0,16.0,6.0
0.0,JEC Franklin,8,2,Mumbai,29.0,26.0,JEC Franklin,6.0,10.0,19.9,11.0,29.0,6.0,29.0,6.0,12.0,25.0,12.0
0.0,JH Kallis,2,3,Chennai,69.0,50.0,JH Kallis,26.0,34.0,37.5,22.5,20.0,20.333333333333332,0.0,0.0,0.0,9.0,25.0
0.0,JH Kallis,5,3,RSA,9.0,7.0,JH Kallis,25.0,27.0,26.6875,20.866666666666667,20.0,20.333333333333332,69.0,26.0,34.0,19.0,12.0
0.0,JH Kallis,5,4,Mumbai,19.0,33.0,JH Kallis,12.0,3.0,14.555555555555555,19.555555555555557,27.75,18.142857142857142,78.0,51.0,61.0,15.0,24.0
0.0,JH Kallis,5,4,RSA,15.0,17.0,JH Kallis,24.0,24.0,26.6875,20.866666666666667,27.75,18.142857142857142,97.0,63.0,64.0,11.0,12.0
0.0,JH Kallis,5,8,Mumbai,11.0,9.0,JH Kallis,12.0,25.0,14.555555555555555,19.555555555555557,40.142857142857146,21.8,112.0,87.0,88.0,7.0,25.0
0.0,JH Kallis,8,2,Mumbai,7.0,7.0,JH Kallis,25.0,18.0,14.555555555555555,19.555555555555557,22.53125,20.15625,123.0,99.0,113.0,30.0,27.0
0.0,JH Kallis,10,2,Mumbai,30.0,33.0,JH Kallis,27.0,25.0,14.555555555555555,19.555555555555557,22.53125,20.15625,130.0,124.0,131.0,23.0,20.0
0.0,JJ Bumrah,8,12,Mumbai,16.0,11.0,JJ Bumrah,24.0,34.0,3.875,25.79591836734694,16.0,22.75,0.0,139.0,138.0,5.0,24.0
0.0,JO Holder,4,2,Delhi,6.0,7.0,JO Holder,26.0,33.0,3.0,25.5,6.8,21.5,0.0,0.0,0.0,24.0,26.0
0.0,JO Holder,5,4,Dubai,24.0,20.0,JO Holder,26.0,25.0,14.7,27.0,14.5,26.071428571428573,6.0,26.0,33.0,11.0,24.0
0.0,JO Holder,10,4,Dubai,11.0,15.0,JO Holder,24.0,50.0,14.7,27.0,14.5,26.071428571428573,30.0,52.0,58.0,4.0,18.0
0.0,JP Behrendorff,9,8,Ahmedabad,3.0,5.0,JP Behrendorff,24.0,28.0,3.0,25.0,3.0,22.88888888888889,0.0,18.0,23.0,3.0,18.0
0.0,JP Faulkner,5,7,Mumbai,4.0,5.0,JP Faulkner,24.0,43.0,14.333333333333334,22.444444444444443,15.0,22.80952380952381,0.0,0.0,0.0,11.0,25.0
0.0,JP Faulkner,7,4,Delhi,11.0,11.0,JP Faulkner,25.0,28.0,12.75,19.0,13.25,22.2,4.0,24.0,43.0,46.0,26.0
0.0,JPR Scantlebury-Searles,2,7,Eden Gardens,2.0,5.0,JPR Scantlebury-Searles,6.0,13.0,2.0,6.0,2.0,6.0,0.0,0.0,0.0,6.0,27.0
0.0,JR Hazlewood,5,7,Ahmedabad,1.0,2.0,JR Hazlewood,24.0,23.0,1.0,24.0,1.0,24.0,0.0,53.0,73.0,7.0,24.0
0.0,JR Hopes,3,1,Mumbai,2.0,5.0,JR Hopes,12.0,20.0,17.5,18.25,7.714285714285714,15.375,0.0,0.0,0.0,71.0,24.0
0.0,K Gowtham,2,7,Eden Gardens,9.0,7.0,K Gowtham,18.0,19.0,7.666666666666667,18.666666666666668,10.444444444444445,18.363636363636363,0.0,0.0,0.0,2.0,6.0
0.0,K Gowtham,8,6,Chennai,2.0,3.0,K Gowtham,6.0,8.0,9.333333333333334,8.333333333333334,10.5,14.4,9.0,18.0,19.0,20.0,24.0
0.0,K Kartikeya,9,8,Ahmedabad,6.0,7.0,K Kartikeya,12.0,16.0,6.0,18.0,4.5,19.88888888888889,0.0,0.0,0.0,3.0,24.0
0.0,K Rabada,8,10,Dubai,15.0,18.0,K Rabada,25.0,44.0,7.5,24.08,11.2,23.92,0.0,0.0,0.0,9.0,26.0
0.0,KA Pollard,3,8,Banglore,16.0,20.0,KA Pollard,18.0,27.0,23.0,15.428571428571429,21.2027027027027,14.5,0.0,0.0,0.0,24.0,18.0
0.0,KA Pollard,3,8,Delhi,24.0,16.0,KA Pollard,18.0,28.0,27.1,13.375,21.2027027027027,14.5,16.0,18.0,27.0,60.0,27.0
0.0,KA Pollard,3,8,Eden Gardens,60.0,32.0,KA Pollard,27.0,34.0,24.0,16.4,21.2027027027027,14.5,40.0,36.0,55.0,68.0,42.0
0.0,KA Pollard,3,8,Mumbai,68.0,29.0,KA Pollard,42.0,68.0,22.765625,16.7027027027027,21.2027027027027,14.5,100.0,63.0,89.0,14.0,8.0
0.0,KA Pollard,3,8,RSA,14.0,8.0,KA Pollard,8.0,10.0,19.571428571428573,17.0,21.2027027027027,14.5,168.0,105.0,157.0,3.0,20.0
0.0,KA Pollard,5,8,Chennai,3.0,6.0,KA Pollard,20.0,24.0,14.4,16.125,21.2027027027027,14.5,182.0,113.0,167.0,33.0,26.0
0.0,KA Pollard,5,8,Mumbai,33.0,14.0,KA Pollard,26.0,17.0,22.765625,16.7027027027027,21.2027027027027,14.5,185.0,133.0,191.0,9.0,18.0
0.0,KA Pollard,8,2,Mumbai,3.0,5.0,KA Pollard,18.0,31.0,22.765625,16.7027027027027,15.307692307692308,13.833333333333334,227.0,159.0,208.0,36.0,6.0
0.0,KA Pollard,8,7,Eden Gardens,11.0,6.0,KA Pollard,6.0,6.0,24.0,16.4,20.666666666666668,15.0,307.0,177.0,239.0,0.0,27.0
0.0,KA Pollard,8,10,Dubai,0.0,2.0,KA Pollard,27.0,36.0,21.304347826086957,12.277777777777779,11.153846153846153,15.25,318.0,183.0,245.0,7.0,7.0
0.0,KA Pollard,10,8,Dubai,9.0,4.0,KA Pollard,7.0,13.0,21.304347826086957,12.277777777777779,21.2027027027027,14.5,332.0,210.0,281.0,6.0,26.0
0.0,KH Pandya,3,8,Chennai,0.0,1.0,KH Pandya,24.0,21.0,5.222222222222222,19.0,17.555555555555557,18.555555555555557,0.0,0.0,0.0,0.0,25.0
0.0,KH Pandya,5,6,Eden Gardens,0.0,1.0,KH Pandya,25.0,39.0,8.0,17.333333333333332,13.411764705882353,19.842105263157894,0.0,24.0,21.0,45.0,18.0
0.0,KH Pandya,8,2,Banglore,45.0,30.0,KH Pandya,18.0,25.0,21.2,20.571428571428573,13.909090909090908,17.0,0.0,49.0,60.0,7.0,18.0
0.0,KH Pandya,8,3,Hyderabad,7.0,7.0,KH Pandya,18.0,39.0,24.666666666666668,18.0,15.666666666666666,18.75,45.0,67.0,85.0,8.0,24.0
0.0,KH Pandya,8,6,Chennai,8.0,11.0,KH Pandya,24.0,42.0,5.222222222222222,19.0,13.411764705882353,19.842105263157894,52.0,85.0,124.0,13.0,25.0
0.0,KH Pandya,8,10,Dubai,13.0,10.0,KH Pandya,25.0,22.0,9.5,19.045454545454547,20.5,14.11111111111111,60.0,109.0,166.0,47.0,24.0
0.0,KH Pandya,8,12,Hyderabad,47.0,41.0,KH Pandya,24.0,31.0,24.666666666666668,18.0,31.0,24.0,73.0,134.0,188.0,15.0,24.0
0.0,KH Pandya,8,12,Mumbai,15.0,12.0,KH Pandya,24.0,22.0,16.8,18.91176470588235,31.0,24.0,120.0,158.0,219.0,1.0,19.0
0.0,KH Pandya,10,8,Dubai,1.0,1.0,KH Pandya,19.0,30.0,9.5,19.045454545454547,17.555555555555557,18.555555555555557,135.0,182.0,241.0,3.0,25.0
0.0,KK Cooper,8,7,Eden Gardens,4.0,2.0,KK Cooper,25.0,35.0,4.0,25.0,9.166666666666666,24.53846153846154,0.0,26.0,36.0,11.0,24.0
0.0,KMA Paul,4,10,Vizag,5.0,4.0,KMA Paul,30.0,33.0,4.0,25.0,5.0,23.5,0.0,0.0,0.0,3.0,20.0
0.0,KMA Paul,10,3,Vizag,3.0,8.0,KMA Paul,20.0,50.0,4.0,25.0,1.5,20.0,5.0,30.0,33.0,3.0,20.0
0.0,KP Pietersen,5,4,Mumbai,29.0,21.0,KP Pietersen,6.0,10.0,21.285714285714285,15.0,44.5,14.333333333333334,0.0,0.0,0.0,19.0,24.0
0.0,KP Pietersen,5,8,Mumbai,19.0,15.0,KP Pietersen,24.0,20.0,21.285714285714285,15.0,29.0,15.0,29.0,6.0,10.0,21.0,18.0
0.0,KV Sharma,5,7,Ahmedabad,5.0,4.0,KV Sharma,14.0,19.0,2.5,19.0,4.333333333333333,13.142857142857142,0.0,19.0,25.0,2.0,12.0
0.0,KV Sharma,7,4,Delhi,2.0,2.0,KV Sharma,12.0,24.0,2.0,18.0,8.705882352941176,20.551724137931036,5.0,33.0,44.0,1.0,25.0
0.0,KV Sharma,8,12,Hyderabad,1.0,5.0,KV Sharma,26.0,18.0,8.6,17.61904761904762,5.333333333333333,24.666666666666668,7.0,70.0,85.0,4.0,24.0
0.0,KV Sharma,8,12,Mumbai,4.0,8.0,KV Sharma,24.0,30.0,8.666666666666666,19.333333333333332,5.333333333333333,24.666666666666668,8.0,96.0,103.0,4.0,12.0
0.0,Karanveer Singh,1,2,Eden Gardens,1.0,1.0,Karanveer Singh,25.0,40.0,1.0,25.0,1.0,25.0,0.0,0.0,0.0,5.0,27.0
0.0,Kuldeep Yadav,4,2,Eden Gardens,0.0,3.0,Kuldeep Yadav,24.0,29.0,10.333333333333334,21.727272727272727,9.6,21.56,0.0,48.0,54.0,1.0,12.0
0.0,LH Ferguson,3,2,Dubai,18.0,13.0,LH Ferguson,26.0,56.0,20.333333333333332,24.076923076923077,9.0,21.545454545454547,0.0,0.0,0.0,1.0,25.0
0.0,M Morkel,10,2,Mumbai,0.0,1.0,M Morkel,24.0,38.0,8.25,24.22222222222222,2.75,24.45,0.0,73.0,97.0,0.0,24.0
0.0,MA Starc,3,5,Ranchi,1.0,1.0,MA Starc,24.0,28.0,1.0,24.0,7.285714285714286,23.266666666666666,0.0,0.0,0.0,6.0,25.0
0.0,MC Henriques,4,2,Delhi,31.0,21.0,MC Henriques,18.0,17.0,23.25,16.0,12.0,16.3,0.0,0.0,0.0,4.0,18.0
0.0,MC Henriques,5,4,Banglore,4.0,5.0,MC Henriques,18.0,40.0,8.4,17.4,19.63157894736842,15.227272727272727,31.0,18.0,17.0,11.0,18.0
0.0,MC Henriques,14,4,Delhi,11.0,6.0,MC Henriques,18.0,27.0,23.25,16.0,19.63157894736842,15.227272727272727,35.0,36.0,57.0,52.0,13.0
0.0,MF Maharoof,10,7,Mumbai,6.0,6.0,MF Maharoof,24.0,34.0,6.0,24.0,6.0,22.5,0.0,0.0,0.0,1.0,26.0
0.0,MG Johnson,1,2,Eden Gardens,10.0,11.0,MG Johnson,26.0,31.0,5.0,23.875,9.4,22.8,0.0,0.0,0.0,1.0,26.0
0.0,MG Johnson,3,1,Mumbai,1.0,1.0,MG Johnson,28.0,44.0,3.6666666666666665,24.666666666666668,4.333333333333333,25.214285714285715,10.0,52.0,72.0,6.0,24.0
0.0,MG Johnson,3,8,Delhi,6.0,7.0,MG Johnson,24.0,40.0,7.333333333333333,22.0,5.4,23.90909090909091,11.0,80.0,116.0,1.0,26.0
0.0,MG Johnson,3,8,Eden Gardens,1.0,2.0,MG Johnson,26.0,20.0,5.0,23.875,5.4,23.90909090909091,17.0,104.0,156.0,13.0,26.0
0.0,MG Johnson,8,12,Hyderabad,13.0,14.0,MG Johnson,24.0,31.0,13.0,23.0,13.0,24.5,18.0,175.0,227.0,0.0,20.0
0.0,MJ McClenaghan,8,3,Hyderabad,0.0,2.0,MJ McClenaghan,26.0,24.0,1.0,24.25,0.0,25.0,0.0,45.0,71.0,12.0,29.0
0.0,MJ McClenaghan,8,12,Mumbai,12.0,12.0,MJ McClenaghan,29.0,47.0,5.444444444444445,25.428571428571427,7.0,24.0,0.0,71.0,95.0,2.0,25.0
0.0,MM Ali,5,4,Dubai,0.0,1.0,MM Ali,6.0,4.0,13.583333333333334,14.125,37.666666666666664,10.75,46.0,0.0,0.0,16.0,25.0
0.0,MM Ali,10,3,Dubai,16.0,12.0,MM Ali,25.0,27.0,13.583333333333334,14.125,20.0625,15.076923076923077,46.0,6.0,4.0,23.0,24.0
0.0,MM Sharma,3,1,Mumbai,1.0,3.0,MM Sharma,25.0,46.0,2.0,21.333333333333332,7.083333333333333,21.583333333333332,0.0,0.0,0.0,0.0,24.0
0.0,MM Sharma,3,8,Eden Gardens,0.0,2.0,MM Sharma,24.0,26.0,6.4,19.5,1.5,21.09090909090909,1.0,71.0,101.0,3.0,21.0
0.0,MM Sharma,3,8,Mumbai,3.0,3.0,MM Sharma,21.0,33.0,2.0,21.333333333333332,1.5,21.09090909090909,1.0,95.0,127.0,21.0,24.0
0.0,MM Sharma,8,3,Eden Gardens,21.0,7.0,MM Sharma,24.0,38.0,6.4,19.5,4.166666666666667,21.23076923076923,4.0,164.0,233.0,2.0,18.0
0.0,MP Stoinis,8,10,Dubai,65.0,48.0,MP Stoinis,6.0,5.0,20.555555555555557,13.642857142857142,19.6,11.642857142857142,49.0,0.0,0.0,18.0,19.0
0.0,MP Stoinis,10,4,Dubai,38.0,27.0,MP Stoinis,19.0,26.0,20.555555555555557,13.642857142857142,14.333333333333334,14.666666666666666,132.0,6.0,5.0,0.0,12.0
0.0,MP Stoinis,10,8,Dubai,0.0,1.0,MP Stoinis,12.0,23.0,20.555555555555557,13.642857142857142,17.2,12.833333333333334,170.0,25.0,31.0,14.0,13.0
0.0,Mohammad Asif,10,7,Mumbai,3.0,5.0,Mohammad Asif,24.0,32.0,1.5,25.5,3.0,24.0,0.0,0.0,0.0,0.0,24.0
0.0,Mohammad Nabi,4,10,Vizag,20.0,13.0,Mohammad Nabi,24.0,29.0,20.0,24.0,20.0,18.0,0.0,0.0,0.0,14.0,24.0
0.0,Mohammed Shami,3,9,Chennai,5.0,7.0,Mohammed Shami,25.0,30.0,4.0,19.8,5.0,25.055555555555557,0.0,0.0,0.0,9.0,24.0
0.0,Mohammed Siraj,5,4,Dubai,10.0,7.0,Mohammed Siraj,27.0,33.0,6.25,19.529411764705884,4.666666666666667,21.3,0.0,24.0,19.0,0.0,26.0
0.0,Mohsin Khan,8,6,Chennai,0.0,7.0,Mohsin Khan,18.0,28.0,0.0,21.0,3.3333333333333335,22.636363636363637,0.0,25.0,25.0,2.0,12.0
0.0,NLTC Perera,7,4,Delhi,11.0,8.0,NLTC Perera,18.0,14.0,10.4,18.166666666666668,16.8,21.8,0.0,0.0,0.0,30.0,25.0
0.0,NM Coulter-Nile,8,2,Banglore,6.0,4.0,NM Coulter-Nile,18.0,15.0,6.0,21.0,4.0,23.4,0.0,24.0,22.0,7.0,25.0
